# x_index  y_index  Avg_PE
0 0 5.191360
1 0 5.193940
2 0 5.186130
3 0 5.191360
4 0 5.191360
5 0 5.188770
6 0 5.186180
7 0 5.189930
8 0 5.189930
9 0 5.188500
10 0 4.169400
11 0 4.169400
12 0 4.169400
13 0 4.169400
14 0 4.169400
15 0 4.169400
16 0 4.169400
17 0 4.169400
18 0 4.169400
19 0 4.169400
20 0 4.169400
21 0 4.169400
22 0 4.169400
23 0 4.169400
24 0 4.169400
25 0 4.169400
26 0 4.169400
27 0 4.169400
28 0 4.169400
29 0 4.169400
0 1 4.169400
1 1 4.169400
2 1 4.169400
3 1 4.169400
4 1 4.169400
5 1 4.169400
6 1 4.169400
7 1 4.169400
8 1 4.169400
9 1 4.169400
10 1 4.169400
11 1 4.169400
12 1 4.169400
13 1 4.169400
14 1 4.169400
15 1 4.169400
16 1 4.169400
17 1 4.169400
18 1 4.169400
19 1 4.169400
20 1 4.169400
21 1 4.169400
22 1 4.169400
23 1 4.169400
24 1 4.169400
25 1 4.169400
26 1 4.169400
27 1 4.169400
28 1 4.169400
29 1 4.169400
0 2 4.169400
1 2 4.169400
2 2 4.169400
3 2 4.169400
4 2 4.169400
5 2 4.169400
6 2 4.169400
7 2 4.169400
8 2 4.103470
9 2 4.103470
10 2 4.103470
11 2 4.103470
12 2 4.103470
13 2 4.103470
14 2 4.045200
15 2 4.045200
16 2 4.045200
17 2 4.045200
18 2 4.045200
19 2 3.064180
20 2 5.150160
21 2 5.199390
22 2 5.184080
23 2 5.171430
24 2 5.181780
25 2 5.176530
26 2 5.163820
27 2 5.166660
28 2 5.161280
29 2 5.162050
0 3 5.175250
1 3 5.187800
2 3 5.193950
3 3 5.187240
4 3 5.183090
5 3 5.189440
6 3 5.197420
7 3 5.190750
8 3 5.187570
9 3 5.191280
10 3 5.190940
11 3 5.190880
12 3 5.184500
13 3 5.187930
14 3 5.190270
15 3 5.192780
16 3 5.190130
17 3 5.188380
18 3 5.189800
19 3 5.191290
20 3 5.189880
21 3 5.189880
22 3 5.191370
23 3 5.191360
24 3 5.189920
25 3 5.184720
26 3 5.188760
27 3 5.188500
28 3 5.191360
29 3 5.191090
0 4 5.187340
1 4 5.189930
2 4 5.188500
3 4 5.184760
4 4 5.189920
5 4 5.192510
6 4 5.189930
7 4 5.184750
8 4 5.189930
9 4 5.192510
10 4 5.187340
11 4 5.191360
12 4 5.189930
13 4 5.189930
14 4 5.188500
15 4 5.189930
16 4 5.186180
17 4 5.188500
18 4 5.192790
19 4 5.188770
20 4 5.185910
21 4 5.187340
22 4 5.188500
23 4 5.189930
24 4 5.188740
25 4 5.185880
26 4 5.189930
27 4 5.185910
28 4 5.187340
